Principle number,Principle,Indian Position,Remarks,Sub-heading,Topic,number_of_words_Principle,number_of_words_Indian_Position,Pattern_Removed_Principle,Pattern_Removed_Indian_Position,Stopwords_Removed_Principle,Stopwords_Removed_Indian_Position,number_of_words_stopwords_removed_Principle,number_of_words_stopwords_removed_Indian_Position
1.3,"A sound risk management process begins with policies and procedures approved by the board of directors or other appropriate body and active oversight by both the board and senior management. The process should include clearly assigned responsibilities for the measurement and monitoring of risks and risk concentrations at the conglomerate level. The conglomerate should have in place a process to identify the conglomerate’s principal risks, a comprehensive measurement system, a system of limits to manage large exposures and other risk concentrations and processes of stress testing and scenario and correlation analysis. Comprehensive management information and reporting systems are essential to sound risk management approach. Finally, sufficient attention should be given to non-quantifiable, as well as quantifiable, risks.","Banks in India are yet to develop and implement sound risk management policies and procedures including sophisticated measurement techniques. The RBI has been proactive in providing guidance to banks in regard to the principles, measurement and management of risks and risk concentrations covering quantifiable and non-quantifiable risks. RBI has also been proactive in urging and motivating the Board of Directors and senior management of banks to exercise oversight on risk management practices and procedures in the banks. However, these are not extended to the conglomerate level. Sound and reliable management information systems, which are essential for an effective risk management approach, are largely lacking due to the low level of technology application and networking within and across individual units.",Comprehensive management information and reporting system at the conglomerate level would have to be insisted upon by the RBI.,,Risk Concentrations Principles,117,119,"A sound risk management process begins with policies and procedures approved by the board of directors or other appropriate body and active oversight by both the board and senior management. The process should include clearly assigned responsibilities for the measurement and monitoring of risks and risk concentrations at the conglomerate level. The conglomerate should have in place a process to identify the conglomerate’s principal risks, a comprehensive measurement system, a system of limits to manage large exposures and other risk concentrations and processes of stress testing and scenario and correlation analysis. Comprehensive management information and reporting systems are essential to sound risk management approach. Finally, sufficient attention should be given to non-quantifiable, as well as quantifiable, risks.","Banks in India are yet to develop and implement sound risk management policies and procedures including sophisticated measurement techniques. The RBI has been proactive in providing guidance to banks in regard to the principles, measurement and management of risks and risk concentrations covering quantifiable and non-quantifiable risks. RBI has also been proactive in urging and motivating the Board of Directors and senior management of banks to exercise oversight on risk management practices and procedures in the banks. However, these are not extended to the conglomerate level. Sound and reliable management information systems, which are essential for an effective risk management approach, are largely lacking due to the low level of technology application and networking within and across individual units.","A sound risk management process begins with policies and procedures approved board directors or other appropriate body and active oversight both board and senior management. The process should include clearly assigned responsibilities measurement and monitoring risks and risk concentrations conglomerate level. The conglomerate should have place process identify conglomerate’s principal risks, comprehensive measurement system, system limits manage large exposures and other risk concentrations and processes stress testing and scenario and correlation analysis. Comprehensive management information and reporting systems essential sound risk management approach. Finally, sufficient attention should given non-quantifiable, as well as quantifiable, risks.","Banks India yet develop and implement sound risk management policies and procedures including sophisticated measurement techniques. The RBI proactive providing guidance banks regard principles, measurement and management risks and risk concentrations covering quantifiable and non-quantifiable risks. RBI also proactive urging and motivating Board Directors and senior management banks exercise oversight on risk management practices and procedures banks. However, these not extended conglomerate level. Sound and reliable management information systems, essential effective risk management approach, largely lacking due low level technology application and networking within and across individual units.",94,88
1.4,"As financial institutions from different sectors merge and financial conglomerates evolve, the potential for new types of concentrations arise. When evaluating proposed mergers and expansions, supervisors should take into account management plans to manage material risk concentrations at a group-wide level.","Assessments of the risk profiles of amalgamating entities on a solo and combined basis is done while evaluating mergers and acquisitions. However, the assessment is not normally extended to cover its impact on the evolving risk profile at the conglomerate level.",,,Risk Concentrations Principles,41,41,"As financial institutions from different sectors merge and financial conglomerates evolve, the potential for new types of concentrations arise. When evaluating proposed mergers and expansions, supervisors should take into account management plans to manage material risk concentrations at a group-wide level.","Assessments of the risk profiles of amalgamating entities on a solo and combined basis is done while evaluating mergers and acquisitions. However, the assessment is not normally extended to cover its impact on the evolving risk profile at the conglomerate level.","As financial institutions from different sectors merge and financial conglomerates evolve, potential new types concentrations arise. When evaluating proposed mergers and expansions, supervisors should take into account management plans manage material risk concentrations group-wide level.","Assessments risk profiles amalgamating entities on solo and combined basis done while evaluating mergers and acquisitions. However, assessment not normally extended cover its impact on evolving risk profile conglomerate level.",35,30
2.0,"Supervisors should monitor material risk concentrations on a timely basis, as needed, through regular reporting or by other means to help form a clear understanding of the risk concentrations of the financial conglomerate.","Refer to item 1.1 to 1.4. Material risk concentrations, including country risk exposures, are monitored on a quarterly basis in respect of the foreign branches, subsidiaries and joint ventures of Indian banks.",It is considered essential that the supervisor develops a clear understanding of the risk concentration at the conglomerate level. This issue would need to be pursued through the regulated entities.,,Risk Concentrations Principles,33,32,"Supervisors should monitor material risk concentrations on a timely basis, as needed, through regular reporting or by other means to help form a clear understanding of the risk concentrations of the financial conglomerate.","Refer to item 1.1 to 1.4. Material risk concentrations, including country risk exposures, are monitored on a quarterly basis in respect of the foreign branches, subsidiaries and joint ventures of Indian banks.","Supervisors should monitor material risk concentrations on timely basis, as needed, through regular reporting or other means help form clear understanding risk concentrations financial conglomerate.","Refer item 1.1 1.4. Material risk concentrations, including country risk exposures, monitored on quarterly basis respect foreign branches, subsidiaries and joint ventures Indian banks.",25,24
2.1,"Supervisors should have access to information or should be informed on a regular basis of the nature and size of material risk concentrations. To facilitate the process, supervisors may find it useful to set limits or thresholds that serve as reporting or supervisory benchmarks. Given the dynamic nature of the conglomerate organisations and the ease with which risk profiles can change, monitoring should be frequent. Risk concentrations or stress scenarios that generate large losses should be acted upon promptly through follow-up questions of the conglomerate’s management.","There are currently no major impediments to the RBI having access to such information on a consolidated as well as disaggregated unit-wise basis, apart from data management standards obtaining in individual banks.",-do-,,Risk Concentrations Principles,86,32,"Supervisors should have access to information or should be informed on a regular basis of the nature and size of material risk concentrations. To facilitate the process, supervisors may find it useful to set limits or thresholds that serve as reporting or supervisory benchmarks. Given the dynamic nature of the conglomerate organisations and the ease with which risk profiles can change, monitoring should be frequent. Risk concentrations or stress scenarios that generate large losses should be acted upon promptly through follow-up questions of the conglomerate’s management.","There are currently no major impediments to the RBI having access to such information on a consolidated as well as disaggregated unit-wise basis, apart from data management standards obtaining in individual banks.","Supervisors should have access information or should informed on regular basis nature and size material risk concentrations. To facilitate process, supervisors may find useful set limits or thresholds that serve as reporting or supervisory benchmarks. Given dynamic nature conglomerate organisations and ease with risk profiles can change, monitoring should frequent. Risk concentrations or stress scenarios that generate large losses should acted upon promptly through follow-up questions conglomerate’s management.","There currently no major impediments RBI having access information on consolidated as well as disaggregated unit-wise basis, apart from data management standards obtaining individual banks.",68,25
3.0,Supervisors should encourage public disclosure of risk concentrations.,We are in agreement with this view.,These disclosures will be helpful and may be made mandatory.,,Risk Concentrations Principles,8,7,Supervisors should encourage public disclosure of risk concentrations.,We are in agreement with this view.,Supervisors should encourage public disclosure risk concentrations.,We agreement with this view.,7,5
3.1,"Public disclosure of risk concentrations at the group-wide level can promote market discipline. Effective public disclosures allow market participants to reward conglomerates that manage risks effectively and to penalise those that do not, thus reinforcing messages provided by the supervisor. For market discipline to be effective, disclosures need to be timely, reliable, relevant and sufficient. Given the complexity and variety of possible risk concentrations in a financial conglomerate, enhancing disclosure includes expanding the range of the most important risk concentrations in periodical financial statements, especially in the annual reports, while making timely and reliable disclosures of exposures outside normal reporting cycle as necessary to provide greater detail in response to market concerns. A description of the conglomerate’s risk management approach to concentrations would be a useful supplement to quantitative information. In addition public disclosure can facilitate supervisory monitoring and risk assessment and lead supervisors to explore further material issues.","While the type of information usually provided in the annual report and management or director’s report to the market or supervisors generally allow the users to arrive at meaningful inferences in regard to financial condition, solvency, earnings performance and brief risk profile, such disclosures on a consolidated basis are currently not mandatory. RBI currently requires banks to only append the financial statements in respect of subsidiaries/ joint ventures along with the financials of the parent unit.",We should follow a gradual process of disclosure on risk so that key elements remain in focus. Suggestions in this regard have been given while examining issues involved in enhancing bank transparency (Chapter 6). RBI may also consider requiring banks to make public the management’s assessment of risk-concentration across sectors on a group-wide basis.,,Risk Concentrations Principles,149,76,"Public disclosure of risk concentrations at the group-wide level can promote market discipline. Effective public disclosures allow market participants to reward conglomerates that manage risks effectively and to penalise those that do not, thus reinforcing messages provided by the supervisor. For market discipline to be effective, disclosures need to be timely, reliable, relevant and sufficient. Given the complexity and variety of possible risk concentrations in a financial conglomerate, enhancing disclosure includes expanding the range of the most important risk concentrations in periodical financial statements, especially in the annual reports, while making timely and reliable disclosures of exposures outside normal reporting cycle as necessary to provide greater detail in response to market concerns. A description of the conglomerate’s risk management approach to concentrations would be a useful supplement to quantitative information. In addition public disclosure can facilitate supervisory monitoring and risk assessment and lead supervisors to explore further material issues.","While the type of information usually provided in the annual report and management or director’s report to the market or supervisors generally allow the users to arrive at meaningful inferences in regard to financial condition, solvency, earnings performance and brief risk profile, such disclosures on a consolidated basis are currently not mandatory. RBI currently requires banks to only append the financial statements in respect of subsidiaries/ joint ventures along with the financials of the parent unit.","Public disclosure risk concentrations group-wide level can promote market discipline. Effective public disclosures allow market participants reward conglomerates that manage risks effectively and penalise that do not, thus reinforcing messages provided supervisor. For market discipline effective, disclosures need timely, reliable, relevant and sufficient. Given complexity and variety possible risk concentrations financial conglomerate, enhancing disclosure includes expanding range most important risk concentrations periodical financial statements, especially annual reports, while making timely and reliable disclosures exposures outside normal reporting cycle as necessary provide greater detail response market concerns. A description conglomerate’s risk management approach concentrations would useful supplement quantitative information. In addition public disclosure can facilitate supervisory monitoring and risk assessment and lead supervisors explore further material issues.","While type information usually provided annual report and management or director’s report market or supervisors generally allow users arrive meaningful inferences regard financial condition, solvency, earnings performance and brief risk profile, disclosures on consolidated basis currently not mandatory. RBI currently requires banks only append financial statements respect subsidiaries/ joint ventures along with financials parent unit.",116,55
4.0,Supervisors should liase closely with one another to ascertain each other’s concerns and coordinate as deemed appropriate any supervisory action relative to risk concentrations within the group.,"Arrangements for information sharing between domestic regulatory bodies exist. However, notwithstanding mechanisms for coordination having been established, the level of actual coordination is not very high and seldom provides the regulators opportunities to take coordinated supervisory actions.","Urgent steps are required to be taken so that coordination between different regulators is of a high order and enables them to take coordinated supervisory action, particularly in the area of risk management by the different entities of a conglomerate.",,Risk Concentrations Principles,27,37,Supervisors should liase closely with one another to ascertain each other’s concerns and coordinate as deemed appropriate any supervisory action relative to risk concentrations within the group.,"Arrangements for information sharing between domestic regulatory bodies exist. However, notwithstanding mechanisms for coordination having been established, the level of actual coordination is not very high and seldom provides the regulators opportunities to take coordinated supervisory actions.",Supervisors should liase closely with one another ascertain each other’s concerns and coordinate as deemed appropriate any supervisory action relative risk concentrations within group.,"Arrangements information sharing between domestic regulatory bodies exist. However, notwithstanding mechanisms coordination having established, level actual coordination not very high and seldom provides regulators opportunities take coordinated supervisory actions.",24,29
4.1,"Risk concentrations may arise from exposures in many parts of a financial conglomerate. The effective assessment, monitoring and control of such concentrations by supervisors is likely to require sectoral expertise as well as a good understanding of the techniques used by other supervisors. Supervisors need to communicate on risk concentrations found within sectors or jurisdictions, as supervision at the sector level may not detect instances of arbitrage. In addition supervisors may need to coordinate across sectors and jurisdictions.",We are in agreement with this view.,"-do-

The range and scope of information exchange among sectoral supervisors needs to be made broader and multi-point. It would also be useful to have a structured agenda so that all material issues with cross-sectoral implications receive appropriate attention.",,Risk Concentrations Principles,78,7,"Risk concentrations may arise from exposures in many parts of a financial conglomerate. The effective assessment, monitoring and control of such concentrations by supervisors is likely to require sectoral expertise as well as a good understanding of the techniques used by other supervisors. Supervisors need to communicate on risk concentrations found within sectors or jurisdictions, as supervision at the sector level may not detect instances of arbitrage. In addition supervisors may need to coordinate across sectors and jurisdictions.",We are in agreement with this view.,"Risk concentrations may arise from exposures many parts financial conglomerate. The effective assessment, monitoring and control concentrations supervisors likely require sectoral expertise as well as good understanding techniques used other supervisors. Supervisors need communicate on risk concentrations found within sectors or jurisdictions, as supervision sector level may not detect instances arbitrage. In addition supervisors may need coordinate across sectors and jurisdictions.",We agreement with this view.,61,5
5.0,"Supervisors should deal effectively and appropriately with material risk concentrations that are considered to have a detrimental effect on the regulated entities, either directly or through an overall detrimental effect on the group.",At present RBI has not articulated a general approach on how to deal with risk concentration at the group level apart from issuing guidelines to banks to have arms length relationship in their commercial transactions with subsidiaries.,"RBI may consider including material risk concentrations at the conglomerate level as one of the possible triggers for the prompt corrective action framework, which is being developed.",,Risk Concentrations Principles,33,37,"Supervisors should deal effectively and appropriately with material risk concentrations that are considered to have a detrimental effect on the regulated entities, either directly or through an overall detrimental effect on the group.",At present RBI has not articulated a general approach on how to deal with risk concentration at the group level apart from issuing guidelines to banks to have arms length relationship in their commercial transactions with subsidiaries.,"Supervisors should deal effectively and appropriately with material risk concentrations that considered have detrimental effect on regulated entities, either directly or through overall detrimental effect on group.",At present RBI not articulated general approach on how deal with risk concentration group level apart from issuing guidelines banks have arms length relationship their commercial transactions with subsidiaries.,27,29
5.1,"If a financial conglomerate is exposed to risk concentrations that may affect its financial stability, supervisors should take appropriate measures with respect to regulated entities. In some cases, supervisors may elect to take preventive measures. For example supervisors with necessary powers may consider establishing cross-sectoral limits for risk concentrations. Exceeding these limits could trigger supervisory intervention directed at controlling situations affecting the viability of the regulated entities of the conglomerate. While supervisors may generally feel they have the powers to seek corrective action by the entity they regulate, actions elsewhere in the conglomerate may be necessary to effectively reduce or mitigate the concentration. Where risk concentrations cut across the regulated entities of the firm, cooperation among the relevant supervisors (as well as with the primary supervisor) is important.",Please refer to items 4.0 and 5.0. RBI has adequate powers to seek corrective action in respect of the banks under its supervision.,,,Risk Concentrations Principles,128,23,"If a financial conglomerate is exposed to risk concentrations that may affect its financial stability, supervisors should take appropriate measures with respect to regulated entities. In some cases, supervisors may elect to take preventive measures. For example supervisors with necessary powers may consider establishing cross-sectoral limits for risk concentrations. Exceeding these limits could trigger supervisory intervention directed at controlling situations affecting the viability of the regulated entities of the conglomerate. While supervisors may generally feel they have the powers to seek corrective action by the entity they regulate, actions elsewhere in the conglomerate may be necessary to effectively reduce or mitigate the concentration. Where risk concentrations cut across the regulated entities of the firm, cooperation among the relevant supervisors is important.",Please refer to items 4.0 and 5.0. RBI has adequate powers to seek corrective action in respect of the banks under its supervision.,"If financial conglomerate exposed risk concentrations that may affect its financial stability, supervisors should take appropriate measures with respect regulated entities. In some cases, supervisors may elect take preventive measures. For example supervisors with necessary powers may consider establishing cross-sectoral limits risk concentrations. Exceeding these limits could trigger supervisory intervention directed controlling situations affecting viability regulated entities conglomerate. While supervisors may generally feel they have powers seek corrective action entity they regulate, actions elsewhere conglomerate may necessary effectively reduce or mitigate concentration. Where risk concentrations cut across regulated entities firm, cooperation among relevant supervisors important.",Please refer items 4.0 and 5.0. RBI adequate powers seek corrective action respect banks under its supervision.,95,17
1.0,"Supervisory strategy with respect to Intra-Group Transactions and Exposures (ITE) in a conglomerate necessarily reflects the powers that the supervisors have to induce financial institutions to control problematic or excessive ITEs and non-arms length transactions. Supervisors should have sufficient authority to gather and safeguard information to enable them to monitor material ITEs across sectors and to observe how ITE-related risks are managed. Supervisors also should have the power to deal with ITEs that are manipulative or abusive, through preventive regulation, such as limits, or remedial action, as necessary. Where supervisors lack sufficient powers, they should seek the additional authority they need.","As indicated in the assessments of compliance with risk concentration principles, the RBI has requisite powers to gather all material information from commercial banks. Although there is no explicit legal provision empowering the RBI to call for information directly from subsidiaries or joint ventures of banks, in practice there has been no constraint in RBI receiving financial and/ or other structured information in respect of any of the transactions between the commercial bank and its down stream and upstream entities. RBI has the necessary powers to direct banks in regard to their ITEs. RBI also has powers to prohibit banks from engaging in ITEs that are manipulative or abusive.",Risk management systems that are being put in place need to take into account the special requirements of ITEs.,,Intra-Group Transactions and Exposures Principles,101,109,"Supervisory strategy with respect to Intra-Group Transactions and Exposures in a conglomerate necessarily reflects the powers that the supervisors have to induce financial institutions to control problematic or excessive ITEs and non-arms length transactions. Supervisors should have sufficient authority to gather and safeguard information to enable them to monitor material ITEs across sectors and to observe how ITE-related risks are managed. Supervisors also should have the power to deal with ITEs that are manipulative or abusive, through preventive regulation, such as limits, or remedial action, as necessary. Where supervisors lack sufficient powers, they should seek the additional authority they need.","As indicated in the assessments of compliance with risk concentration principles, the RBI has requisite powers to gather all material information from commercial banks. Although there is no explicit legal provision empowering the RBI to call for information directly from subsidiaries or joint ventures of banks, in practice there has been no constraint in RBI receiving financial and/ or other structured information in respect of any of the transactions between the commercial bank and its down stream and upstream entities. RBI has the necessary powers to direct banks in regard to their ITEs. RBI also has powers to prohibit banks from engaging in ITEs that are manipulative or abusive.","Supervisory strategy with respect Intra-Group Transactions and Exposures conglomerate necessarily reflects powers that supervisors have induce financial institutions control problematic or excessive ITEs and non-arms length transactions. Supervisors should have sufficient authority gather and safeguard information enable them monitor material ITEs across sectors and observe how ITE-related risks managed. Supervisors also should have power deal with ITEs that manipulative or abusive, through preventive regulation, as limits, or remedial action, as necessary. Where supervisors lack sufficient powers, they should seek additional authority they need.","As indicated assessments compliance with risk concentration principles, RBI requisite powers gather all material information from commercial banks. Although there no explicit legal provision empowering RBI call information directly from subsidiaries or joint ventures banks, practice there no constraint RBI receiving financial and/ or other structured information respect any transactions between commercial bank and its down stream and upstream entities. RBI necessary powers direct banks regard their ITEs. RBI also powers prohibit banks from engaging ITEs that manipulative or abusive.",83,80
1.1,"Supervisors should take steps, directly or through regulated entities, to provide that conglomerates have adequate risk management processes in place, including those pertaining to ITEs. Where necessary the supervisors should consider appropriate measures, such as reinforcing these processes with supervisory limits.",Conglomerate structures in India are relatively uncomplicated and simple. RBI has issued general guidelines to banks that all transactions with their subsidiaries/ joint ventures and associates should be on an arms length basis and at market determined rates. The extant risk management guidelines issued by the RBI also addresses exposures to counterparties. There are currently no prudential limits in regard to intra-group transactions excepting prudential exposure limits.,RBI should consider issuing appropriate guidelines requiring banks to ensure that they and their subsidiaries and joint ventures put in place adequate risk management processes covering intra-group exposures as well. It would also be useful to stipulate limits for ITEs on a solo and consolidated basis.,,Intra-Group Transactions and Exposures Principles,41,67,"Supervisors should take steps, directly or through regulated entities, to provide that conglomerates have adequate risk management processes in place, including those pertaining to ITEs. Where necessary the supervisors should consider appropriate measures, such as reinforcing these processes with supervisory limits.",Conglomerate structures in India are relatively uncomplicated and simple. RBI has issued general guidelines to banks that all transactions with their subsidiaries/ joint ventures and associates should be on an arms length basis and at market determined rates. The extant risk management guidelines issued by the RBI also addresses exposures to counterparties. There are currently no prudential limits in regard to intra-group transactions excepting prudential exposure limits.,"Supervisors should take steps, directly or through regulated entities, provide that conglomerates have adequate risk management processes place, including pertaining ITEs. Where necessary supervisors should consider appropriate measures, as reinforcing these processes with supervisory limits.",Conglomerate structures India relatively uncomplicated and simple. RBI issued general guidelines banks that all transactions with their subsidiaries/ joint ventures and associates should on arms length basis and market determined rates. The extant risk management guidelines issued RBI also addresses exposures counterparties. There currently no prudential limits regard intra-group transactions excepting prudential exposure limits.,35,54
1.2,"Supervisory concerns emerging from ITEs, in particular contagion effects, can be mitigated by good internal control policies within the conglomerate. Supervisors should expect that regulated entities will monitor and control ITEs in such a manner that the financial integrity of each regulated entity is protected. Supervisors should take steps directly or through regulated entities to provide that financial conglomerates have controls in place to manage their ITEs. For example, where the supervisor does not consider the controls adequate, or there is evidence of abusive or manipulative activity, supervisors should consider imposing supervisory limits or other measures.","Internal control policies as applicable to normal transactions are also applicable to intra-group transactions. There is no system whereby intra-group transactions in a financial/ banking conglomerate are monitored by supervisors in India. . However, market intelligence is being developed as a source of supervisory information.","In order to more fully comply with best practices in this regard, it is necessary for RBI to issue instructions to banks to ensure that their up-stream and down-stream units have appropriate controls in place in regard to intra-group transactions. To be effective it is preferable to prescribe norms as to permissible types of ITEs and also limits linked to the unimpaired regulatory capital of the bank.",,Intra-Group Transactions and Exposures Principles,96,45,"Supervisory concerns emerging from ITEs, in particular contagion effects, can be mitigated by good internal control policies within the conglomerate. Supervisors should expect that regulated entities will monitor and control ITEs in such a manner that the financial integrity of each regulated entity is protected. Supervisors should take steps directly or through regulated entities to provide that financial conglomerates have controls in place to manage their ITEs. For example, where the supervisor does not consider the controls adequate, or there is evidence of abusive or manipulative activity, supervisors should consider imposing supervisory limits or other measures.","Internal control policies as applicable to normal transactions are also applicable to intra-group transactions. There is no system whereby intra-group transactions in a financial/ banking conglomerate are monitored by supervisors in India. . However, market intelligence is being developed as a source of supervisory information.","Supervisory concerns emerging from ITEs, particular contagion effects, can mitigated good internal control policies within conglomerate. Supervisors should expect that regulated entities will monitor and control ITEs manner that financial integrity each regulated entity protected. Supervisors should take steps directly or through regulated entities provide that financial conglomerates have controls place manage their ITEs. For example, where supervisor does not consider controls adequate, or there evidence abusive or manipulative activity, supervisors should consider imposing supervisory limits or other measures.","Internal control policies as applicable normal transactions also applicable intra-group transactions. There no system whereby intra-group transactions financial/ banking conglomerate monitored supervisors India. . However, market intelligence being developed as source supervisory information.",79,33
1.3,"A sound risk management process for ITEs begins with policies and procedures approved by the board of directors or other appropriate body and active oversight by both the board and senior management. The process should include a unified framework for the measurement and monitoring of material ITEs, so that both sides of bilateral transactions can be analysed at the individual regulated entity level, as well as at the conglomerate level. Comprehensive management information and reporting systems are essential to sound risk management approach. Finally, sufficient attention should be given to non-quantifiable, as well as quantifiable, risks.","This principle is acceptable. The RBI has been proactive in providing guidance to banks in regard to the principles, measurement and management of risks and risk concentrations covering quantifiable and non-quantifiable risks. RBI has also been proactive in urging and motivating the Board of Directors and senior management of banks to exercise oversight on risk management practices and procedures in the bank. However, these do not adequately cover ITEs.","RBI may consider issuing detailed guidelines to banks urging them to formulate and put in place clearly defined policies and procedures, including a unified framework for measurement, monitoring and management of risks associated with ITEs.",,Intra-Group Transactions and Exposures Principles,96,69,"A sound risk management process for ITEs begins with policies and procedures approved by the board of directors or other appropriate body and active oversight by both the board and senior management. The process should include a unified framework for the measurement and monitoring of material ITEs, so that both sides of bilateral transactions can be analysed at the individual regulated entity level, as well as at the conglomerate level. Comprehensive management information and reporting systems are essential to sound risk management approach. Finally, sufficient attention should be given to non-quantifiable, as well as quantifiable, risks.","This principle is acceptable. The RBI has been proactive in providing guidance to banks in regard to the principles, measurement and management of risks and risk concentrations covering quantifiable and non-quantifiable risks. RBI has also been proactive in urging and motivating the Board of Directors and senior management of banks to exercise oversight on risk management practices and procedures in the bank. However, these do not adequately cover ITEs.","A sound risk management process ITEs begins with policies and procedures approved board directors or other appropriate body and active oversight both board and senior management. The process should include unified framework measurement and monitoring material ITEs, so that both sides bilateral transactions can analysed individual regulated entity level, as well as conglomerate level. Comprehensive management information and reporting systems essential sound risk management approach. Finally, sufficient attention should given non-quantifiable, as well as quantifiable, risks.","This principle acceptable. The RBI proactive providing guidance banks regard principles, measurement and management risks and risk concentrations covering quantifiable and non-quantifiable risks. RBI also proactive urging and motivating Board Directors and senior management banks exercise oversight on risk management practices and procedures bank. However, these do not adequately cover ITEs.",76,51
1.4,"As financial institutions from different sectors merge and financial conglomerates evolve, the potential size, volume and complexity of ITEs increase. When evaluating proposed mergers and expansions, supervisors should take into account management plans to manage material ITEs at a group-wide level.","Assessments of the risk profiles of amalgamating entities on a solo and combined basis is done while evaluating mergers and acquisitions. However, the assessment is not normally extended to explicitly cover plans to manage ITEs at a group-wide level.",,,Intra-Group Transactions and Exposures Principles,41,39,"As financial institutions from different sectors merge and financial conglomerates evolve, the potential size, volume and complexity of ITEs increase. When evaluating proposed mergers and expansions, supervisors should take into account management plans to manage material ITEs at a group-wide level.","Assessments of the risk profiles of amalgamating entities on a solo and combined basis is done while evaluating mergers and acquisitions. However, the assessment is not normally extended to explicitly cover plans to manage ITEs at a group-wide level.","As financial institutions from different sectors merge and financial conglomerates evolve, potential size, volume and complexity ITEs increase. When evaluating proposed mergers and expansions, supervisors should take into account management plans manage material ITEs group-wide level.","Assessments risk profiles amalgamating entities on solo and combined basis done while evaluating mergers and acquisitions. However, assessment not normally extended explicitly cover plans manage ITEs group-wide level.",36,28
2.0,"Supervisors should monitor material ITEs of the regulated financial entities on a timely basis, as needed, through regular reporting or by other means to help form a clear understanding of the ITEs of the financial conglomerate.","Refer to item 1.1 to 1.4. Material ITEs are not captured in the supervisory off-site reporting system. These are however, looked into during the on-site inspection process if there frequency and concentration is large enough to attract supervisory concern.",Adequate reporting systems need to be put in place.,,Intra-Group Transactions and Exposures Principles,36,39,"Supervisors should monitor material ITEs of the regulated financial entities on a timely basis, as needed, through regular reporting or by other means to help form a clear understanding of the ITEs of the financial conglomerate.","Refer to item 1.1 to 1.4. Material ITEs are not captured in the supervisory off-site reporting system. These are however, looked into during the on-site inspection process if there frequency and concentration is large enough to attract supervisory concern.","Supervisors should monitor material ITEs regulated financial entities on timely basis, as needed, through regular reporting or other means help form clear understanding ITEs financial conglomerate.","Refer item 1.1 1.4. Material ITEs not captured supervisory off-site reporting system. These however, looked into during on-site inspection process if there frequency and concentration large enough attract supervisory concern.",26,30
2.1,"Supervisors should be able to tailor their monitoring of material ITEs based on the nature and scope of the conglomerate’s corporate governance and internal control mechanisms. Supervisors should have access to information or be informed on a regular basis on ITEs, on both a solo and consolidated basis that exceed a set standard rule. This implies that supervisors need to refer to both consolidated and unconsolidated financial statements to properly detect ITEs.","Refer to item 2.0. There are currently no major impediments to the RBI having access to such information on a consolidated as well as disaggregated unit-wise basis, apart from data management standards obtaining in individual banks.",,,Intra-Group Transactions and Exposures Principles,72,36,"Supervisors should be able to tailor their monitoring of material ITEs based on the nature and scope of the conglomerate’s corporate governance and internal control mechanisms. Supervisors should have access to information or be informed on a regular basis on ITEs, on both a solo and consolidated basis that exceed a set standard rule. This implies that supervisors need to refer to both consolidated and unconsolidated financial statements to properly detect ITEs.","Refer to item 2.0. There are currently no major impediments to the RBI having access to such information on a consolidated as well as disaggregated unit-wise basis, apart from data management standards obtaining in individual banks.","Supervisors should able tailor their monitoring material ITEs based on nature and scope conglomerate’s corporate governance and internal control mechanisms. Supervisors should have access information or informed on regular basis on ITEs, on both solo and consolidated basis that exceed set standard rule. This implies that supervisors need refer both consolidated and unconsolidated financial statements properly detect ITEs.","Refer item 2.0. There currently no major impediments RBI having access information on consolidated as well as disaggregated unit-wise basis, apart from data management standards obtaining individual banks.",58,28
2.2,"In instances where the conglomerate contains significant unregulated entities or has an organisational structure very different from its legal entity structure, sound management of ITEs by the regulated entities of the financial conglomerate, and possibly by the financial conglomerate as a whole will be an important concern.",This principle is acceptable. RBI should ensure that material ITEs are effectively monitored through the principle entity falling within its jurisdiction.,,,Intra-Group Transactions and Exposures Principles,47,21,"In instances where the conglomerate contains significant unregulated entities or has an organisational structure very different from its legal entity structure, sound management of ITEs by the regulated entities of the financial conglomerate, and possibly by the financial conglomerate as a whole will be an important concern.",This principle is acceptable. RBI should ensure that material ITEs are effectively monitored through the principle entity falling within its jurisdiction.,"In instances where conglomerate contains significant unregulated entities or organisational structure very different from its legal entity structure, sound management ITEs regulated entities financial conglomerate, and possibly financial conglomerate as whole will important concern.",This principle acceptable. RBI should ensure that material ITEs effectively monitored through principle entity falling within its jurisdiction.,34,18
