Principle number,Principle,Indian Position,Remarks,Sub-heading,Topic,number_of_words_Principle,number_of_words_Indian_Position,Pattern_Removed_Principle,Pattern_Removed_Indian_Position,number_of_words_pattern_removed_Principle,number_of_words_pattern_removed_Indian_Position
4.0,Supervisors should liase closely with one another to ascertain each other’s concerns and coordinate as deemed appropriate any supervisory action relative to risk concentrations within the group.,"Arrangements for information sharing between domestic regulatory bodies exist. However, notwithstanding mechanisms for coordination having been established, the level of actual coordination is not very high and seldom provides the regulators opportunities to take coordinated supervisory actions.","Urgent steps are required to be taken so that coordination between different regulators is of a high order and enables them to take coordinated supervisory action, particularly in the area of risk management by the different entities of a conglomerate.",,Risk Concentrations Principles,27,37,Supervisors should liase closely with one another to ascertain each other’s concerns and coordinate as deemed appropriate any supervisory action relative to risk concentrations within the group.,"Arrangements for information sharing between domestic regulatory bodies exist. However, notwithstanding mechanisms for coordination having been established, the level of actual coordination is not very high and seldom provides the regulators opportunities to take coordinated supervisory actions.",27,37
4.1,"Risk concentrations may arise from exposures in many parts of a financial conglomerate. The effective assessment, monitoring and control of such concentrations by supervisors is likely to require sectoral expertise as well as a good understanding of the techniques used by other supervisors. Supervisors need to communicate on risk concentrations found within sectors or jurisdictions, as supervision at the sector level may not detect instances of arbitrage. In addition supervisors may need to coordinate across sectors and jurisdictions.",We are in agreement with this view.,"-do-

The range and scope of information exchange among sectoral supervisors needs to be made broader and multi-point. It would also be useful to have a structured agenda so that all material issues with cross-sectoral implications receive appropriate attention.",,Risk Concentrations Principles,78,7,"Risk concentrations may arise from exposures in many parts of a financial conglomerate. The effective assessment, monitoring and control of such concentrations by supervisors is likely to require sectoral expertise as well as a good understanding of the techniques used by other supervisors. Supervisors need to communicate on risk concentrations found within sectors or jurisdictions, as supervision at the sector level may not detect instances of arbitrage. In addition supervisors may need to coordinate across sectors and jurisdictions.",We are in agreement with this view.,78,7
5.0,"Supervisors should deal effectively and appropriately with material risk concentrations that are considered to have a detrimental effect on the regulated entities, either directly or through an overall detrimental effect on the group.",At present RBI has not articulated a general approach on how to deal with risk concentration at the group level apart from issuing guidelines to banks to have arms length relationship in their commercial transactions with subsidiaries.,"RBI may consider including material risk concentrations at the conglomerate level as one of the possible triggers for the prompt corrective action framework, which is being developed.",,Risk Concentrations Principles,33,37,"Supervisors should deal effectively and appropriately with material risk concentrations that are considered to have a detrimental effect on the regulated entities, either directly or through an overall detrimental effect on the group.",At present RBI has not articulated a general approach on how to deal with risk concentration at the group level apart from issuing guidelines to banks to have arms length relationship in their commercial transactions with subsidiaries.,33,37
5.1,"If a financial conglomerate is exposed to risk concentrations that may affect its financial stability, supervisors should take appropriate measures with respect to regulated entities. In some cases, supervisors may elect to take preventive measures. For example supervisors with necessary powers may consider establishing cross-sectoral limits for risk concentrations. Exceeding these limits could trigger supervisory intervention directed at controlling situations affecting the viability of the regulated entities of the conglomerate. While supervisors may generally feel they have the powers to seek corrective action by the entity they regulate, actions elsewhere in the conglomerate may be necessary to effectively reduce or mitigate the concentration. Where risk concentrations cut across the regulated entities of the firm, cooperation among the relevant supervisors (as well as with the primary supervisor) is important.",Please refer to items 4.0 and 5.0. RBI has adequate powers to seek corrective action in respect of the banks under its supervision.,,,Risk Concentrations Principles,128,23,"If a financial conglomerate is exposed to risk concentrations that may affect its financial stability, supervisors should take appropriate measures with respect to regulated entities. In some cases, supervisors may elect to take preventive measures. For example supervisors with necessary powers may consider establishing cross-sectoral limits for risk concentrations. Exceeding these limits could trigger supervisory intervention directed at controlling situations affecting the viability of the regulated entities of the conglomerate. While supervisors may generally feel they have the powers to seek corrective action by the entity they regulate, actions elsewhere in the conglomerate may be necessary to effectively reduce or mitigate the concentration. Where risk concentrations cut across the regulated entities of the firm, cooperation among the relevant supervisors is important.",Please refer to items 4.0 and 5.0. RBI has adequate powers to seek corrective action in respect of the banks under its supervision.,121,23
1.0,"Supervisory strategy with respect to Intra-Group Transactions and Exposures (ITE) in a conglomerate necessarily reflects the powers that the supervisors have to induce financial institutions to control problematic or excessive ITEs and non-arms length transactions. Supervisors should have sufficient authority to gather and safeguard information to enable them to monitor material ITEs across sectors and to observe how ITE-related risks are managed. Supervisors also should have the power to deal with ITEs that are manipulative or abusive, through preventive regulation, such as limits, or remedial action, as necessary. Where supervisors lack sufficient powers, they should seek the additional authority they need.","As indicated in the assessments of compliance with risk concentration principles, the RBI has requisite powers to gather all material information from commercial banks. Although there is no explicit legal provision empowering the RBI to call for information directly from subsidiaries or joint ventures of banks, in practice there has been no constraint in RBI receiving financial and/ or other structured information in respect of any of the transactions between the commercial bank and its down stream and upstream entities. RBI has the necessary powers to direct banks in regard to their ITEs. RBI also has powers to prohibit banks from engaging in ITEs that are manipulative or abusive.",Risk management systems that are being put in place need to take into account the special requirements of ITEs.,,Intra-Group Transactions and Exposures Principles,101,109,"Supervisory strategy with respect to Intra-Group Transactions and Exposures in a conglomerate necessarily reflects the powers that the supervisors have to induce financial institutions to control problematic or excessive ITEs and non-arms length transactions. Supervisors should have sufficient authority to gather and safeguard information to enable them to monitor material ITEs across sectors and to observe how ITE-related risks are managed. Supervisors also should have the power to deal with ITEs that are manipulative or abusive, through preventive regulation, such as limits, or remedial action, as necessary. Where supervisors lack sufficient powers, they should seek the additional authority they need.","As indicated in the assessments of compliance with risk concentration principles, the RBI has requisite powers to gather all material information from commercial banks. Although there is no explicit legal provision empowering the RBI to call for information directly from subsidiaries or joint ventures of banks, in practice there has been no constraint in RBI receiving financial and/ or other structured information in respect of any of the transactions between the commercial bank and its down stream and upstream entities. RBI has the necessary powers to direct banks in regard to their ITEs. RBI also has powers to prohibit banks from engaging in ITEs that are manipulative or abusive.",100,109
1.1,"Supervisors should take steps, directly or through regulated entities, to provide that conglomerates have adequate risk management processes in place, including those pertaining to ITEs. Where necessary the supervisors should consider appropriate measures, such as reinforcing these processes with supervisory limits.",Conglomerate structures in India are relatively uncomplicated and simple. RBI has issued general guidelines to banks that all transactions with their subsidiaries/ joint ventures and associates should be on an arms length basis and at market determined rates. The extant risk management guidelines issued by the RBI also addresses exposures to counterparties. There are currently no prudential limits in regard to intra-group transactions excepting prudential exposure limits.,RBI should consider issuing appropriate guidelines requiring banks to ensure that they and their subsidiaries and joint ventures put in place adequate risk management processes covering intra-group exposures as well. It would also be useful to stipulate limits for ITEs on a solo and consolidated basis.,,Intra-Group Transactions and Exposures Principles,41,67,"Supervisors should take steps, directly or through regulated entities, to provide that conglomerates have adequate risk management processes in place, including those pertaining to ITEs. Where necessary the supervisors should consider appropriate measures, such as reinforcing these processes with supervisory limits.",Conglomerate structures in India are relatively uncomplicated and simple. RBI has issued general guidelines to banks that all transactions with their subsidiaries/ joint ventures and associates should be on an arms length basis and at market determined rates. The extant risk management guidelines issued by the RBI also addresses exposures to counterparties. There are currently no prudential limits in regard to intra-group transactions excepting prudential exposure limits.,41,67
1.2,"Supervisory concerns emerging from ITEs, in particular contagion effects, can be mitigated by good internal control policies within the conglomerate. Supervisors should expect that regulated entities will monitor and control ITEs in such a manner that the financial integrity of each regulated entity is protected. Supervisors should take steps directly or through regulated entities to provide that financial conglomerates have controls in place to manage their ITEs. For example, where the supervisor does not consider the controls adequate, or there is evidence of abusive or manipulative activity, supervisors should consider imposing supervisory limits or other measures.","Internal control policies as applicable to normal transactions are also applicable to intra-group transactions. There is no system whereby intra-group transactions in a financial/ banking conglomerate are monitored by supervisors in India. . However, market intelligence is being developed as a source of supervisory information.","In order to more fully comply with best practices in this regard, it is necessary for RBI to issue instructions to banks to ensure that their up-stream and down-stream units have appropriate controls in place in regard to intra-group transactions. To be effective it is preferable to prescribe norms as to permissible types of ITEs and also limits linked to the unimpaired regulatory capital of the bank.",,Intra-Group Transactions and Exposures Principles,96,45,"Supervisory concerns emerging from ITEs, in particular contagion effects, can be mitigated by good internal control policies within the conglomerate. Supervisors should expect that regulated entities will monitor and control ITEs in such a manner that the financial integrity of each regulated entity is protected. Supervisors should take steps directly or through regulated entities to provide that financial conglomerates have controls in place to manage their ITEs. For example, where the supervisor does not consider the controls adequate, or there is evidence of abusive or manipulative activity, supervisors should consider imposing supervisory limits or other measures.","Internal control policies as applicable to normal transactions are also applicable to intra-group transactions. There is no system whereby intra-group transactions in a financial/ banking conglomerate are monitored by supervisors in India. . However, market intelligence is being developed as a source of supervisory information.",96,45
1.3,"A sound risk management process for ITEs begins with policies and procedures approved by the board of directors or other appropriate body and active oversight by both the board and senior management. The process should include a unified framework for the measurement and monitoring of material ITEs, so that both sides of bilateral transactions can be analysed at the individual regulated entity level, as well as at the conglomerate level. Comprehensive management information and reporting systems are essential to sound risk management approach. Finally, sufficient attention should be given to non-quantifiable, as well as quantifiable, risks.","This principle is acceptable. The RBI has been proactive in providing guidance to banks in regard to the principles, measurement and management of risks and risk concentrations covering quantifiable and non-quantifiable risks. RBI has also been proactive in urging and motivating the Board of Directors and senior management of banks to exercise oversight on risk management practices and procedures in the bank. However, these do not adequately cover ITEs.","RBI may consider issuing detailed guidelines to banks urging them to formulate and put in place clearly defined policies and procedures, including a unified framework for measurement, monitoring and management of risks associated with ITEs.",,Intra-Group Transactions and Exposures Principles,96,69,"A sound risk management process for ITEs begins with policies and procedures approved by the board of directors or other appropriate body and active oversight by both the board and senior management. The process should include a unified framework for the measurement and monitoring of material ITEs, so that both sides of bilateral transactions can be analysed at the individual regulated entity level, as well as at the conglomerate level. Comprehensive management information and reporting systems are essential to sound risk management approach. Finally, sufficient attention should be given to non-quantifiable, as well as quantifiable, risks.","This principle is acceptable. The RBI has been proactive in providing guidance to banks in regard to the principles, measurement and management of risks and risk concentrations covering quantifiable and non-quantifiable risks. RBI has also been proactive in urging and motivating the Board of Directors and senior management of banks to exercise oversight on risk management practices and procedures in the bank. However, these do not adequately cover ITEs.",96,69
1.4,"As financial institutions from different sectors merge and financial conglomerates evolve, the potential size, volume and complexity of ITEs increase. When evaluating proposed mergers and expansions, supervisors should take into account management plans to manage material ITEs at a group-wide level.","Assessments of the risk profiles of amalgamating entities on a solo and combined basis is done while evaluating mergers and acquisitions. However, the assessment is not normally extended to explicitly cover plans to manage ITEs at a group-wide level.",,,Intra-Group Transactions and Exposures Principles,41,39,"As financial institutions from different sectors merge and financial conglomerates evolve, the potential size, volume and complexity of ITEs increase. When evaluating proposed mergers and expansions, supervisors should take into account management plans to manage material ITEs at a group-wide level.","Assessments of the risk profiles of amalgamating entities on a solo and combined basis is done while evaluating mergers and acquisitions. However, the assessment is not normally extended to explicitly cover plans to manage ITEs at a group-wide level.",41,39
2.0,"Supervisors should monitor material ITEs of the regulated financial entities on a timely basis, as needed, through regular reporting or by other means to help form a clear understanding of the ITEs of the financial conglomerate.","Refer to item 1.1 to 1.4. Material ITEs are not captured in the supervisory off-site reporting system. These are however, looked into during the on-site inspection process if there frequency and concentration is large enough to attract supervisory concern.",Adequate reporting systems need to be put in place.,,Intra-Group Transactions and Exposures Principles,36,39,"Supervisors should monitor material ITEs of the regulated financial entities on a timely basis, as needed, through regular reporting or by other means to help form a clear understanding of the ITEs of the financial conglomerate.","Refer to item 1.1 to 1.4. Material ITEs are not captured in the supervisory off-site reporting system. These are however, looked into during the on-site inspection process if there frequency and concentration is large enough to attract supervisory concern.",36,39
2.1,"Supervisors should be able to tailor their monitoring of material ITEs based on the nature and scope of the conglomerate’s corporate governance and internal control mechanisms. Supervisors should have access to information or be informed on a regular basis on ITEs, on both a solo and consolidated basis that exceed a set standard rule. This implies that supervisors need to refer to both consolidated and unconsolidated financial statements to properly detect ITEs.","Refer to item 2.0. There are currently no major impediments to the RBI having access to such information on a consolidated as well as disaggregated unit-wise basis, apart from data management standards obtaining in individual banks.",,,Intra-Group Transactions and Exposures Principles,72,36,"Supervisors should be able to tailor their monitoring of material ITEs based on the nature and scope of the conglomerate’s corporate governance and internal control mechanisms. Supervisors should have access to information or be informed on a regular basis on ITEs, on both a solo and consolidated basis that exceed a set standard rule. This implies that supervisors need to refer to both consolidated and unconsolidated financial statements to properly detect ITEs.","Refer to item 2.0. There are currently no major impediments to the RBI having access to such information on a consolidated as well as disaggregated unit-wise basis, apart from data management standards obtaining in individual banks.",72,36
2.2,"In instances where the conglomerate contains significant unregulated entities or has an organisational structure very different from its legal entity structure, sound management of ITEs by the regulated entities of the financial conglomerate, and possibly by the financial conglomerate as a whole will be an important concern.",This principle is acceptable. RBI should ensure that material ITEs are effectively monitored through the principle entity falling within its jurisdiction.,,,Intra-Group Transactions and Exposures Principles,47,21,"In instances where the conglomerate contains significant unregulated entities or has an organisational structure very different from its legal entity structure, sound management of ITEs by the regulated entities of the financial conglomerate, and possibly by the financial conglomerate as a whole will be an important concern.",This principle is acceptable. RBI should ensure that material ITEs are effectively monitored through the principle entity falling within its jurisdiction.,47,21
2.3,Different approaches to capital regulation and accounting rules in different financial sectors may increase the opportunities for regulatory arbitrage. Supervisors should be especially vigilant in identifying ITEs throughout the financial conglomerate that facilitate such arbitrage.,This principle is acceptable.,,,Intra-Group Transactions and Exposures Principles,35,4,Different approaches to capital regulation and accounting rules in different financial sectors may increase the opportunities for regulatory arbitrage. Supervisors should be especially vigilant in identifying ITEs throughout the financial conglomerate that facilitate such arbitrage.,This principle is acceptable.,35,4
2.4,"As ITEs evolve, reporting of these transactions must also evolve and take into account new benefits and risks that may be associated with these new structures.",Refer to comments at 2.1.,,,Intra-Group Transactions and Exposures Principles,26,5,"As ITEs evolve, reporting of these transactions must also evolve and take into account new benefits and risks that may be associated with these new structures.",Refer to comments at 2.1.,26,5
3.0,Supervisors should encourage public disclosure of ITEs.,ITEs are at present not subject of compulsory public disclosure.,"In the interest of effective consolidated supervision and for ensuring due transparency in the dealings between the units of a conglomerate, public disclosure of ITEs should be made compulsory. Suitable regulations as well as accounting principles would need to be put in place to ensure such disclosure.",,Intra-Group Transactions and Exposures Principles,7,10,Supervisors should encourage public disclosure of ITEs.,ITEs are at present not subject of compulsory public disclosure.,7,10
3.1,"Public disclosure of ITEs at the group-wide level can promote market discipline by providing insight into the relationship among the various entities in the conglomerate. Effective public disclosures allow market participants to reward conglomerates that manage risks associated with ITEs effectively and to penalise those that do not, thus reinforcing messages provided by the supervisor. For market discipline to be effective, disclosures need to be timely, reliable, relevant and sufficient. Given the variety of possible ITEs in a financial conglomerate, public disclosure should not simply highlight the volume of ITEs but help the reader of financial statements to gain a greater understanding of the operations of the conglomerate. This no doubt means enhancing disclosures by expanding both the qualitative information, such as scope, significance and management of the conglomerate’s major ITEs, as well as quantitative information. In addition, public disclosure can facilitate supervisory monitoring and risk assessment and lead supervisors to explore further material issues.","While the type of information usually provided in the annual report and management or director’s report to the market or supervisors generally allow these users to arrive at meaningful inferences in regard to financial condition, solvency, earnings performance and brief risk profile, disclosures relating to ITEs are currently not mandatory. RBI currently requires banks to append the financial statements in respect of subsidiaries/ joint ventures along with the financials of the parent unit. RBI may consider requiring banks to also make public not only the variety and volume of ITEs, but also the management’s statement of the purpose and implications of ITEs on a group-wide basis.",,,Intra-Group Transactions and Exposures Principles,155,106,"Public disclosure of ITEs at the group-wide level can promote market discipline by providing insight into the relationship among the various entities in the conglomerate. Effective public disclosures allow market participants to reward conglomerates that manage risks associated with ITEs effectively and to penalise those that do not, thus reinforcing messages provided by the supervisor. For market discipline to be effective, disclosures need to be timely, reliable, relevant and sufficient. Given the variety of possible ITEs in a financial conglomerate, public disclosure should not simply highlight the volume of ITEs but help the reader of financial statements to gain a greater understanding of the operations of the conglomerate. This no doubt means enhancing disclosures by expanding both the qualitative information, such as scope, significance and management of the conglomerate’s major ITEs, as well as quantitative information. In addition, public disclosure can facilitate supervisory monitoring and risk assessment and lead supervisors to explore further material issues.","While the type of information usually provided in the annual report and management or director’s report to the market or supervisors generally allow these users to arrive at meaningful inferences in regard to financial condition, solvency, earnings performance and brief risk profile, disclosures relating to ITEs are currently not mandatory. RBI currently requires banks to append the financial statements in respect of subsidiaries/ joint ventures along with the financials of the parent unit. RBI may consider requiring banks to also make public not only the variety and volume of ITEs, but also the management’s statement of the purpose and implications of ITEs on a group-wide basis.",155,106
4.0,Supervisors should liase closely with one another to ascertain each other’s concerns and coordinate as deemed appropriate any supervisory action relative to ITEs within the group.,"We are in agreement with this view. Information sharing between domestic regulatory bodies like Securities and Exchange Board of India (SEBI), National Bank for Agricultural and Rural Development (NABARD), National Housing Bank (NHB), etc, are attended to on mutual understanding. The RBI is also represented on the boards of these bodies. A High level Committee on Capital Markets comprising of Governor of RBI, Chairman of SEBI and Finance Secretary of the Central Government serves as a forum for discussing key regulatory issues of common interest. Cooperation established should also extend to sharing information on material ITEs across jurisdictions.",Supervisors should liaise closely with one another to ascertain each other’s concerns and coordinate as deemed appropriate. Close coordination and liaion between supervisors is a precondition for effective supervision over regulated entities individually as well as over the groups these entities comprise. Mechanisms aimed at ensuring full coordination and free flow of information between different regulators needs to be put in place urgently.,,Intra-Group Transactions and Exposures Principles,26,98,Supervisors should liase closely with one another to ascertain each other’s concerns and coordinate as deemed appropriate any supervisory action relative to ITEs within the group.,"We are in agreement with this view. Information sharing between domestic regulatory bodies like Securities and Exchange Board of India, National Bank for Agricultural and Rural Development, National Housing Bank, etc, are attended to on mutual understanding. The RBI is also represented on the boards of these bodies. A High level Committee on Capital Markets comprising of Governor of RBI, Chairman of SEBI and Finance Secretary of the Central Government serves as a forum for discussing key regulatory issues of common interest. Cooperation established should also extend to sharing information on material ITEs across jurisdictions.",26,95
4.1,A better understanding of supervisory methods dealing with ITEs and their rationale will facilitate a group-wide assessment of the difficulties that may be encountered by conglomerates as a result of ITEs. Supervisory concerns associated with cross-jurisdiction and cross-sector ITEs may be mitigated by communication among supervisors.,The range and scope of information exchange among sectoral supervisors as well as the contact levels needs to be made broader and multi-point. It would also be useful to have a structured agenda so that all material issues with cross-sectoral implications receive appropriate attention.,,,Intra-Group Transactions and Exposures Principles,46,44,A better understanding of supervisory methods dealing with ITEs and their rationale will facilitate a group-wide assessment of the difficulties that may be encountered by conglomerates as a result of ITEs. Supervisory concerns associated with cross-jurisdiction and cross-sector ITEs may be mitigated by communication among supervisors.,The range and scope of information exchange among sectoral supervisors as well as the contact levels needs to be made broader and multi-point. It would also be useful to have a structured agenda so that all material issues with cross-sectoral implications receive appropriate attention.,46,44
4.2,"One of the key considerations influencing the supervisory approach to the regulation of ITEs is the legal structure of the conglomerate in each jurisdiction and country in which the conglomerate has operations. In deteriorating financial scenarios, the liquidation and bankruptcy regimes of each separate legal entity will determine at what point the regulated entity is endangered and will be moved into liquidation or resolution. Supervisors need to be aware that the differences in the bankruptcy/ liquidation regimes exist so that they can anticipate the impact of such regimes on the regulated entities within a troubled conglomerate and coordinate as necessary and where possible with other supervisors.","Bankruptcy and liquidation regimes for commercial entities are uniform across India. However, there are serious implications for cross- border conglomerates.",,,Intra-Group Transactions and Exposures Principles,106,20,"One of the key considerations influencing the supervisory approach to the regulation of ITEs is the legal structure of the conglomerate in each jurisdiction and country in which the conglomerate has operations. In deteriorating financial scenarios, the liquidation and bankruptcy regimes of each separate legal entity will determine at what point the regulated entity is endangered and will be moved into liquidation or resolution. Supervisors need to be aware that the differences in the bankruptcy/ liquidation regimes exist so that they can anticipate the impact of such regimes on the regulated entities within a troubled conglomerate and coordinate as necessary and where possible with other supervisors.","Bankruptcy and liquidation regimes for commercial entities are uniform across India. However, there are serious implications for cross- border conglomerates.",106,20
5.0,"Supervisors should deal effectively and appropriately with material ITEs that are considered to have a detrimental effect on the regulated entities, either directly or through an overall detrimental effect on the group.",We are in agreement with this view. At present RBI has not articulated a general approach on how to deal with material ITEs at the group level apart from issuing guidelines to banks to have arms length relationship in their commercial transactions with subsidiaries.,,,Intra-Group Transactions and Exposures Principles,32,44,"Supervisors should deal effectively and appropriately with material ITEs that are considered to have a detrimental effect on the regulated entities, either directly or through an overall detrimental effect on the group.",We are in agreement with this view. At present RBI has not articulated a general approach on how to deal with material ITEs at the group level apart from issuing guidelines to banks to have arms length relationship in their commercial transactions with subsidiaries.,32,44
5.1,"Most supervisory regimes are designed to prohibit detrimental ITEs. If prohibited transactions occur or if a financial conglomerate is exposed to ITEs that may affect its financial stability, supervisors should take appropriate measures with respect to regulated entities. Examples of supervisory actions include requiring that prohibited transactions be nullified or cease to continue, that the use of ITEs be modified going forward or that they be subject to prudential measures. Supervisors may have to use moral suasion in instances where their powers are lacking to deal with ITEs. Where ITEs cut across the regulated entities of the firm, cooperation among the relevant supervisors (as well as with the primary supervisor) is important.",Please refer to items 4.0 and 5.0. RBI has adequate powers to seek corrective action in respect of the banks under its supervision.,,,Intra-Group Transactions and Exposures Principles,112,23,"Most supervisory regimes are designed to prohibit detrimental ITEs. If prohibited transactions occur or if a financial conglomerate is exposed to ITEs that may affect its financial stability, supervisors should take appropriate measures with respect to regulated entities. Examples of supervisory actions include requiring that prohibited transactions be nullified or cease to continue, that the use of ITEs be modified going forward or that they be subject to prudential measures. Supervisors may have to use moral suasion in instances where their powers are lacking to deal with ITEs. Where ITEs cut across the regulated entities of the firm, cooperation among the relevant supervisors is important.",Please refer to items 4.0 and 5.0. RBI has adequate powers to seek corrective action in respect of the banks under its supervision.,105,23
i.,"Effective supervision between host and parent authorities is a central prerequisite for the supervision of banks’ international operations. In relation to the supervision of banks’ foreign establishments there are two basic principles which are fundamental to such cooperation and which call for consultation and contacts between respective host and parent authorities; Firstly, that no foreign banking establishment should escape supervision; and Secondly, that the supervision should be adequate.","All foreign banking establishments in the country are subject to supervision. Systems are in place and have so far proved to be adequate. In the changing worldwide scenario of banking particularly the integration of markets, there is now a need to strengthen the system further. The first step would be a greater interaction with controlling office (not only the immediately superior office) and the home office regulator. A full understanding of the overall operations of the bank involved is considered necessary.",,I. General principles governing the supervision of banks’ foreign establishments,Principles for the Supervision of Banks’ Foreign Establishments (The Basel Concordat),68,81,"Effective supervision between host and parent authorities is a central prerequisite for the supervision of banks’ international operations. In relation to the supervision of banks’ foreign establishments there are two basic principles which are fundamental to such cooperation and which call for consultation and contacts between respective host and parent authorities; Firstly, that no foreign banking establishment should escape supervision; and Secondly, that the supervision should be adequate.","All foreign banking establishments in the country are subject to supervision. Systems are in place and have so far proved to be adequate. In the changing worldwide scenario of banking particularly the integration of markets, there is now a need to strengthen the system further. The first step would be a greater interaction with controlling office and the home office regulator. A full understanding of the overall operations of the bank involved is considered necessary.",68,75
ii.,"In giving effect to these principles, host authorities should ensure that parent authorities are informed immediately of any serious problems which arise in a parent bank’s foreign establishment. Similarly, parent authorities should inform host authorities when problems arise in a parent bank which are likely to affect the bank’s foreign establishment.",This principle has as yet not received universal acceptance amongst regulators in regard to their cross border regulatory obligations. Host authorities in a large majority of cases remain inadequately informed about the parent bank’s current and impending difficulties. A more comprehensive system of information sharing based on mutuality and reciprocity need to be established.,,I. General principles governing the supervision of banks’ foreign establishments,Principles for the Supervision of Banks’ Foreign Establishments (The Basel Concordat),51,54,"In giving effect to these principles, host authorities should ensure that parent authorities are informed immediately of any serious problems which arise in a parent bank’s foreign establishment. Similarly, parent authorities should inform host authorities when problems arise in a parent bank which are likely to affect the bank’s foreign establishment.",This principle has as yet not received universal acceptance amongst regulators in regard to their cross border regulatory obligations. Host authorities in a large majority of cases remain inadequately informed about the parent bank’s current and impending difficulties. A more comprehensive system of information sharing based on mutuality and reciprocity need to be established.,51,54
,The allocation of responsibilities for the supervision of the solvency of banks’ foreign establishments between parent and host authorities will depend upon the type of establishment concerned.,Supervision of banks in India mainly aims at ensuring the solvency of the banks and their ability to meet their liabilities as and when they arise.,,II. Aspects of the supervision of banks’ foreign establishments 1. Solvency,Principles for the Supervision of Banks’ Foreign Establishments (The Basel Concordat),27,26,The allocation of responsibilities for the supervision of the solvency of banks’ foreign establishments between parent and host authorities will depend upon the type of establishment concerned.,Supervision of banks in India mainly aims at ensuring the solvency of the banks and their ability to meet their liabilities as and when they arise.,27,26
,"For branches, their solvency is indistinguishable from that of the parent bank as a whole. So, while there is a general responsibility on the host authority to monitor the financial soundness of foreign branches, supervision of solvency is primarily a matter for the parent authority.","While supervising the branches of foreign banks operating in India, RBI looks mainly at the solvency of the branch.

The solvency of the parent bank needs to receive a more pointed attention even if the responsibility to monitor is only general.",,II. Aspects of the supervision of banks’ foreign establishments 1. Solvency,Principles for the Supervision of Banks’ Foreign Establishments (The Basel Concordat),45,41,"For branches, their solvency is indistinguishable from that of the parent bank as a whole. So, while there is a general responsibility on the host authority to monitor the financial soundness of foreign branches, supervision of solvency is primarily a matter for the parent authority.","While supervising the branches of foreign banks operating in India, RBI looks mainly at the solvency of the branch.The solvency of the parent bank needs to receive a more pointed attention even if the responsibility to monitor is only general.",45,40
,"For subsidiaries, the supervision is a joint responsibility of both host and parent authorities.","For supervision of subsidiaries of foreign banks which have branches in India as also for subsidiaries of Indian banks abroad, RBI would need to develop a more focussed policy. At present, the supervision of the subsidiary does not seem to attract enough attention of the regulator.",,II. Aspects of the supervision of banks’ foreign establishments 1. Solvency,Principles for the Supervision of Banks’ Foreign Establishments (The Basel Concordat),14,46,"For subsidiaries, the supervision is a joint responsibility of both host and parent authorities.","For supervision of subsidiaries of foreign banks which have branches in India as also for subsidiaries of Indian banks abroad, RBI would need to develop a more focussed policy. At present, the supervision of the subsidiary does not seem to attract enough attention of the regulator.",14,46
,"For joint ventures, the supervision should normally, for practical reasons, be primarily the responsibility of the authorities in the country of incorporation.",This is our position as well.,,II. Aspects of the supervision of banks’ foreign establishments 1. Solvency,Principles for the Supervision of Banks’ Foreign Establishments (The Basel Concordat),22,6,"For joint ventures, the supervision should normally, for practical reasons, be primarily the responsibility of the authorities in the country of incorporation.",This is our position as well.,22,6
,Allocation of responsibilities for the supervision of the liquidity of banks’ foreign establishments will depend upon the type of establishment concerned.,Liquidity of branches of banks incorporated abroad and functioning in the country as well as those of Indian bank branches abroad are monitored.,,II. Aspects of the supervision of banks’ foreign establishments 2. Liquidity,Principles for the Supervision of Banks’ Foreign Establishments (The Basel Concordat),21,23,Allocation of responsibilities for the supervision of the liquidity of banks’ foreign establishments will depend upon the type of establishment concerned.,Liquidity of branches of banks incorporated abroad and functioning in the country as well as those of Indian bank branches abroad are monitored.,21,23
,"For branches, host authorities will often be best equipped to supervise liquidity as it relates to local practices and regulations and the functioning of their domestic money markets. At the same time, the liquidity of all foreign branches will always be a matter of concern to the parent authorities, since a branch’s liquidity is frequently controlled directly by the parent bank and cannot be viewed in isolation from that of the whole bank of which it is a part. Parent authorities need to be aware of parent banks’ control systems and need to take account of calls that may be made on the resources of parent banks by their foreign branches. Host and parent authorities should always consult each other if there are any doubts in particular cases about where responsibilities for supervising the liquidity of foreign branches should lie.","Foreign banks operating in the country are required to bring in capital funds and minimum CAR is also stipulated for such branches. Systems are also in place whereby RBI can take into account calls that may have to be made by them on their parent banks. This is also periodically monitored. In the case of Indian banks with branches abroad, systems are in place for monitoring liquidity by means of periodical returns.",,II. Aspects of the supervision of banks’ foreign establishments 2. Liquidity,Principles for the Supervision of Banks’ Foreign Establishments (The Basel Concordat),140,72,"For branches, host authorities will often be best equipped to supervise liquidity as it relates to local practices and regulations and the functioning of their domestic money markets. At the same time, the liquidity of all foreign branches will always be a matter of concern to the parent authorities, since a branch’s liquidity is frequently controlled directly by the parent bank and cannot be viewed in isolation from that of the whole bank of which it is a part. Parent authorities need to be aware of parent banks’ control systems and need to take account of calls that may be made on the resources of parent banks by their foreign branches. Host and parent authorities should always consult each other if there are any doubts in particular cases about where responsibilities for supervising the liquidity of foreign branches should lie.","Foreign banks operating in the country are required to bring in capital funds and minimum CAR is also stipulated for such branches. Systems are also in place whereby RBI can take into account calls that may have to be made by them on their parent banks. This is also periodically monitored. In the case of Indian banks with branches abroad, systems are in place for monitoring liquidity by means of periodical returns.",140,72
